PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
539,2022-01-01,15146,Australia,SO61315,1,1,24.99
529,2022-01-01,15146,Australia,SO61315,2,1,3.99
222,2022-01-01,15146,Australia,SO61315,3,1,34.99
490,2022-01-01,15146,Australia,SO61315,4,1,53.99
225,2022-01-01,15146,Australia,SO61315,5,1,8.99
536,2022-01-01,21187,Australia,SO61316,1,1,29.99
480,2022-01-01,21187,Australia,SO61316,2,1,2.29
485,2022-01-01,17355,Australia,SO61317,1,1,21.98
485,2022-01-01,18492,Australia,SO61318,1,1,21.98
217,2022-01-01,18492,Australia,SO61318,2,1,34.99
529,2022-01-01,20262,Australia,SO61319,1,1,3.99
538,2022-01-01,20262,Australia,SO61319,2,1,21.49
480,2022-01-01,20262,Australia,SO61319,3,1,2.29
478,2022-01-01,28943,Australia,SO61320,1,1,9.99
477,2022-01-01,28943,Australia,SO61320,2,1,4.99
214,2022-01-01,28943,Australia,SO61320,3,1,34.99
237,2022-01-01,14319,Australia,SO61321,1,1,49.99
467,2022-01-01,14319,Australia,SO61321,2,1,24.49
480,2022-01-01,12371,Australia,SO61322,1,1,2.29
483,2022-01-01,12371,Australia,SO61322,2,1,120
384,2022-01-01,25127,Australia,SO61361,1,1,1120.49
491,2022-01-01,25127,Australia,SO61361,2,1,53.99
359,2022-01-01,13648,Australia,SO61362,1,1,2294.99
480,2022-01-01,13648,Australia,SO61362,2,1,2.29
575,2022-01-01,11099,Australia,SO61367,1,1,2384.07
477,2022-01-01,11099,Australia,SO61367,2,1,4.99
479,2022-01-01,11099,Australia,SO61367,3,1,8.99
489,2022-01-01,11099,Australia,SO61367,4,1,53.99
576,2022-01-01,11904,Australia,SO61368,1,1,2384.07
222,2022-01-01,11904,Australia,SO61368,2,1,34.99
565,2022-01-01,29084,Australia,SO61369,1,1,742.35
561,2022-01-01,11464,Australia,SO61370,1,1,2384.07
214,2022-01-01,11464,Australia,SO61370,2,1,34.99
606,2022-01-01,27515,Australia,SO61371,1,1,539.99
478,2022-01-02,11122,Australia,SO61373,1,1,9.99
217,2022-01-02,13046,Australia,SO61374,1,1,34.99
217,2022-01-02,13150,Australia,SO61375,1,1,34.99
484,2022-01-02,13613,Australia,SO61376,1,1,7.95
225,2022-01-02,18199,Australia,SO61377,1,1,8.99
225,2022-01-02,18270,Australia,SO61378,1,1,8.99
388,2022-01-02,17734,Australia,SO61417,1,1,1120.49
386,2022-01-02,24585,Australia,SO61418,1,1,1120.49
529,2022-01-02,24585,Australia,SO61418,2,1,3.99
539,2022-01-02,24585,Australia,SO61418,3,1,24.99
217,2022-01-02,24585,Australia,SO61418,4,1,34.99
388,2022-01-02,24484,Australia,SO61419,1,1,1120.49
363,2022-01-02,13122,Australia,SO61420,1,1,2294.99
485,2022-01-02,13122,Australia,SO61420,2,1,21.98
487,2022-01-02,13122,Australia,SO61420,3,1,54.99
225,2022-01-02,13122,Australia,SO61420,4,1,8.99
579,2022-01-02,13050,Australia,SO61425,1,1,1214.85
214,2022-01-02,13050,Australia,SO61425,2,1,34.99
606,2022-01-02,27500,Australia,SO61426,1,1,539.99
479,2022-01-02,27500,Australia,SO61426,2,1,8.99
477,2022-01-02,27500,Australia,SO61426,3,1,4.99
214,2022-01-02,27500,Australia,SO61426,4,1,34.99
606,2022-01-02,27512,Australia,SO61427,1,1,539.99
380,2022-01-03,20615,Australia,SO61428,1,1,2443.35
529,2022-01-03,20615,Australia,SO61428,2,1,3.99
540,2022-01-03,20615,Australia,SO61428,3,1,32.6
480,2022-01-03,20615,Australia,SO61428,4,1,2.29
372,2022-01-03,20616,Australia,SO61429,1,1,2443.35
529,2022-01-03,20616,Australia,SO61429,2,1,3.99
540,2022-01-03,20616,Australia,SO61429,3,1,32.6
214,2022-01-03,20616,Australia,SO61429,4,1,34.99
529,2022-01-03,14233,Australia,SO61431,1,1,3.99
539,2022-01-03,14233,Australia,SO61431,2,1,24.99
536,2022-01-03,16710,Australia,SO61432,1,1,29.99
528,2022-01-03,16710,Australia,SO61432,2,1,4.99
480,2022-01-03,16710,Australia,SO61432,3,1,2.29
536,2022-01-03,16625,Australia,SO61433,1,1,29.99
528,2022-01-03,16625,Australia,SO61433,2,1,4.99
480,2022-01-03,16625,Australia,SO61433,3,1,2.29
484,2022-01-03,16625,Australia,SO61433,4,1,7.95
477,2022-01-03,23646,Australia,SO61434,1,1,4.99
225,2022-01-03,23646,Australia,SO61434,2,1,8.99
488,2022-01-03,17250,Australia,SO61435,1,1,53.99
225,2022-01-03,17250,Australia,SO61435,2,1,8.99
530,2022-01-03,16016,Australia,SO61436,1,1,4.99
541,2022-01-03,16016,Australia,SO61436,2,1,28.99
477,2022-01-03,16016,Australia,SO61436,3,1,4.99
479,2022-01-03,16016,Australia,SO61436,4,1,8.99
535,2022-01-03,11125,Australia,SO61444,1,1,24.99
528,2022-01-03,11125,Australia,SO61444,2,1,4.99
480,2022-01-03,11125,Australia,SO61444,3,1,2.29
390,2022-01-03,17730,Australia,SO61471,1,1,1120.49
539,2022-01-03,17730,Australia,SO61471,2,1,24.99
529,2022-01-03,17730,Australia,SO61471,3,1,3.99
463,2022-01-03,17730,Australia,SO61471,4,1,24.49
359,2022-01-03,13123,Australia,SO61472,1,1,2294.99
480,2022-01-03,13123,Australia,SO61472,2,1,2.29
359,2022-01-03,13135,Australia,SO61473,1,1,2294.99
478,2022-01-03,13135,Australia,SO61473,2,1,9.99
587,2022-01-03,17233,Australia,SO61481,1,1,769.49
528,2022-01-04,14059,Australia,SO61482,1,1,4.99
535,2022-01-04,14059,Australia,SO61482,2,1,24.99
480,2022-01-04,14059,Australia,SO61482,3,1,2.29
528,2022-01-04,19578,Australia,SO61483,1,1,4.99
536,2022-01-04,19578,Australia,SO61483,2,1,29.99
480,2022-01-04,19578,Australia,SO61483,3,1,2.29
477,2022-01-04,22941,Australia,SO61484,1,1,4.99
491,2022-01-04,22941,Australia,SO61484,2,1,53.99
475,2022-01-04,26143,Australia,SO61485,1,1,69.99
491,2022-01-04,26143,Australia,SO61485,2,1,53.99
478,2022-01-04,29188,Australia,SO61486,1,1,9.99
477,2022-01-04,29188,Australia,SO61486,2,1,4.99
487,2022-01-04,29188,Australia,SO61486,3,1,54.99
234,2022-01-04,14217,Australia,SO61487,1,1,49.99
583,2022-01-04,23423,Australia,SO61522,1,1,1700.99
491,2022-01-04,23423,Australia,SO61522,2,1,53.99
374,2022-01-04,20609,Australia,SO61523,1,1,2443.35
529,2022-01-04,20609,Australia,SO61523,2,1,3.99
540,2022-01-04,20609,Australia,SO61523,3,1,32.6
214,2022-01-04,20609,Australia,SO61523,4,1,34.99
467,2022-01-04,20609,Australia,SO61523,5,1,24.49
388,2022-01-04,25213,Australia,SO61524,1,1,1120.49
529,2022-01-04,25213,Australia,SO61524,2,1,3.99
539,2022-01-04,25213,Australia,SO61524,3,1,24.99
222,2022-01-04,25213,Australia,SO61524,4,1,34.99
357,2022-01-04,13650,Australia,SO61525,1,1,2319.99
477,2022-01-04,13650,Australia,SO61525,2,1,4.99
478,2022-01-04,13650,Australia,SO61525,3,1,9.99
590,2022-01-04,14670,Australia,SO61538,1,1,769.49
474,2022-01-04,14670,Australia,SO61538,2,1,69.99
225,2022-01-04,14670,Australia,SO61538,3,1,8.99
536,2022-01-05,20282,Australia,SO61539,1,1,29.99
528,2022-01-05,20282,Australia,SO61539,2,1,4.99
480,2022-01-05,20282,Australia,SO61539,3,1,2.29
485,2022-01-05,22176,Australia,SO61540,1,1,21.98
478,2022-01-05,22176,Australia,SO61540,2,1,9.99
477,2022-01-05,22176,Australia,SO61540,3,1,4.99
472,2022-01-05,22176,Australia,SO61540,4,1,63.5
476,2022-01-05,26164,Australia,SO61541,1,1,69.99
528,2022-01-05,12997,Australia,SO61542,1,1,4.99
222,2022-01-05,12997,Australia,SO61542,2,1,34.99
529,2022-01-05,12690,Australia,SO61543,1,1,3.99
480,2022-01-05,12690,Australia,SO61543,2,1,2.29
529,2022-01-05,25266,Australia,SO61544,1,1,3.99
488,2022-01-05,25266,Australia,SO61544,2,1,53.99
225,2022-01-05,11369,Australia,SO61545,1,1,8.99
237,2022-01-05,11369,Australia,SO61545,2,1,49.99
225,2022-01-05,18206,Australia,SO61546,1,1,8.99
388,2022-01-05,25215,Australia,SO61584,1,1,1120.49
222,2022-01-05,25215,Australia,SO61584,2,1,34.99
384,2022-01-05,24477,Australia,SO61585,1,1,1120.49
386,2022-01-05,17728,Australia,SO61586,1,1,1120.49
539,2022-01-05,17728,Australia,SO61586,2,1,24.99
529,2022-01-05,17728,Australia,SO61586,3,1,3.99
480,2022-01-05,17728,Australia,SO61586,4,1,2.29
353,2022-01-05,13117,Australia,SO61587,1,1,2319.99
485,2022-01-05,13117,Australia,SO61587,2,1,21.98
480,2022-01-05,13117,Australia,SO61587,3,1,2.29
353,2022-01-05,13130,Australia,SO61588,1,1,2319.99
537,2022-01-05,13130,Australia,SO61588,2,1,35
590,2022-01-05,17232,Australia,SO61596,1,1,769.49
606,2022-01-05,27513,Australia,SO61597,1,1,539.99
538,2022-01-05,27513,Australia,SO61597,2,1,21.49
480,2022-01-05,27513,Australia,SO61597,3,1,2.29
474,2022-01-06,27343,Australia,SO61598,1,1,69.99
489,2022-01-06,27343,Australia,SO61598,2,1,53.99
225,2022-01-06,27343,Australia,SO61598,3,1,8.99
528,2022-01-06,21371,Australia,SO61599,1,1,4.99
480,2022-01-06,21371,Australia,SO61599,2,1,2.29
214,2022-01-06,15233,Australia,SO61600,1,1,34.99
372,2022-01-06,20612,Australia,SO61639,1,1,2443.35
529,2022-01-06,20612,Australia,SO61639,2,1,3.99
540,2022-01-06,20612,Australia,SO61639,3,1,32.6
480,2022-01-06,20612,Australia,SO61639,4,1,2.29
573,2022-01-06,27866,Australia,SO61653,1,1,2384.07
477,2022-01-06,27866,Australia,SO61653,2,1,4.99
479,2022-01-06,27866,Australia,SO61653,3,1,8.99
561,2022-01-06,11894,Australia,SO61654,1,1,2384.07
541,2022-01-06,11894,Australia,SO61654,2,1,28.99
530,2022-01-06,11894,Australia,SO61654,3,1,4.99
214,2022-01-06,11894,Australia,SO61654,4,1,34.99
561,2022-01-06,11905,Australia,SO61655,1,1,2384.07
541,2022-01-06,11905,Australia,SO61655,2,1,28.99
564,2022-01-06,11762,Australia,SO61656,1,1,2384.07
491,2022-01-06,11762,Australia,SO61656,2,1,53.99
538,2022-01-07,19618,Australia,SO61657,1,1,21.49
225,2022-01-07,19618,Australia,SO61657,2,1,8.99
485,2022-01-07,22003,Australia,SO61658,1,1,21.98
214,2022-01-07,22003,Australia,SO61658,2,1,34.99
530,2022-01-07,23078,Australia,SO61659,1,1,4.99
480,2022-01-07,23078,Australia,SO61659,2,1,2.29
484,2022-01-07,23078,Australia,SO61659,3,1,7.95
530,2022-01-07,23079,Australia,SO61660,1,1,4.99
480,2022-01-07,23079,Australia,SO61660,2,1,2.29
225,2022-01-07,26145,Australia,SO61661,1,1,8.99
476,2022-01-07,26145,Australia,SO61661,2,1,69.99
477,2022-01-07,25001,Australia,SO61662,1,1,4.99
478,2022-01-07,25001,Australia,SO61662,2,1,9.99
217,2022-01-07,25001,Australia,SO61662,3,1,34.99
231,2022-01-07,11367,Australia,SO61663,1,1,49.99
482,2022-01-07,11367,Australia,SO61663,2,1,8.99
465,2022-01-07,11911,Australia,SO61664,1,1,24.49
541,2022-01-07,19608,Australia,SO61665,1,1,28.99
225,2022-01-07,19608,Australia,SO61665,2,1,8.99
530,2022-01-07,19608,Australia,SO61665,3,1,4.99
355,2022-01-07,13651,Australia,SO61719,1,1,2319.99
478,2022-01-07,13651,Australia,SO61719,2,1,9.99
225,2022-01-07,13651,Australia,SO61719,3,1,8.99
477,2022-01-07,13651,Australia,SO61719,4,1,4.99
564,2022-01-07,11764,Australia,SO61730,1,1,2384.07
605,2022-01-07,23324,Australia,SO61731,1,1,539.99
479,2022-01-07,23324,Australia,SO61731,2,1,8.99
535,2022-01-08,14087,Australia,SO61732,1,1,24.99
463,2022-01-08,14087,Australia,SO61732,2,1,24.49
484,2022-01-08,11752,Australia,SO61733,1,1,7.95
581,2022-01-08,23436,Australia,SO61772,1,1,1700.99
477,2022-01-08,23436,Australia,SO61772,2,1,4.99
479,2022-01-08,23436,Australia,SO61772,3,1,8.99
489,2022-01-08,23436,Australia,SO61772,4,1,53.99
380,2022-01-08,20448,Australia,SO61773,1,1,2443.35
479,2022-01-08,20448,Australia,SO61773,2,1,8.99
477,2022-01-08,20448,Australia,SO61773,3,1,4.99
225,2022-01-08,20448,Australia,SO61773,4,1,8.99
