PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
346,2019-06-29,11003,Australia,SO43701,1,1,3399.99
310,2019-06-30,16624,Australia,SO43703,1,1,3578.27
351,2019-06-30,11005,Australia,SO43704,1,1,3374.99
344,2019-06-30,11011,Australia,SO43705,1,1,3399.99
313,2019-06-30,16351,Australia,SO43709,1,1,3578.27
314,2019-06-30,16517,Australia,SO43710,1,1,3578.27
314,2019-07-02,16483,Australia,SO43715,1,1,3578.27
311,2019-07-02,16529,Australia,SO43716,1,1,3578.27
336,2019-07-02,25249,Australia,SO43717,1,1,699.0982
311,2019-07-04,16520,Australia,SO43724,1,1,3578.27
311,2019-07-05,16607,Australia,SO43727,1,1,3578.27
314,2019-07-06,16629,Australia,SO43731,1,1,3578.27
350,2019-07-06,11025,Australia,SO43732,1,1,3374.99
310,2019-07-07,16522,Australia,SO43735,1,1,3578.27
346,2019-07-07,11002,Australia,SO43736,1,1,3399.99
312,2019-07-08,16527,Australia,SO43740,1,1,3578.27
347,2019-07-09,11007,Australia,SO43743,1,1,3399.99
313,2019-07-09,16631,Australia,SO43744,1,1,3578.27
311,2019-07-10,16514,Australia,SO43745,1,1,3578.27
312,2019-07-10,16616,Australia,SO43746,1,1,3578.27
310,2019-07-11,16482,Australia,SO43753,1,1,3578.27
350,2019-07-12,11017,Australia,SO43757,1,1,3374.99
314,2019-07-13,16352,Australia,SO43760,1,1,3578.27
310,2019-07-13,16493,Australia,SO43761,1,1,3578.27
313,2019-07-14,16525,Australia,SO43763,1,1,3578.27
310,2019-07-14,16612,Australia,SO43764,1,1,3578.27
346,2019-07-14,11010,Australia,SO43765,1,1,3399.99
313,2019-07-15,16518,Australia,SO43766,1,1,3578.27
350,2019-07-15,11001,Australia,SO43767,1,1,3374.99
312,2019-07-16,16524,Australia,SO43772,1,1,3578.27
314,2019-07-16,16526,Australia,SO43773,1,1,3578.27
313,2019-07-16,16348,Australia,SO43774,1,1,3578.27
347,2019-07-16,11027,Australia,SO43775,1,1,3399.99
311,2019-07-17,16515,Australia,SO43777,1,1,3578.27
345,2019-07-17,11018,Australia,SO43778,1,1,3399.99
326,2019-07-17,25252,Australia,SO43779,1,1,699.0982
312,2019-07-18,16495,Australia,SO43781,1,1,3578.27
312,2019-07-18,16516,Australia,SO43782,1,1,3578.27
312,2019-07-18,16620,Australia,SO43783,1,1,3578.27
314,2019-07-19,16484,Australia,SO43791,1,1,3578.27
312,2019-07-19,16623,Australia,SO43792,1,1,3578.27
344,2019-07-19,11000,Australia,SO43793,1,1,3399.99
347,2019-07-19,11029,Australia,SO43794,1,1,3399.99
312,2019-07-20,16345,Australia,SO43797,1,1,3578.27
310,2019-07-20,16521,Australia,SO43798,1,1,3578.27
312,2019-07-20,16636,Australia,SO43799,1,1,3578.27
312,2019-07-22,16523,Australia,SO43806,1,1,3578.27
310,2019-07-23,16350,Australia,SO43809,1,1,3578.27
345,2019-07-23,11004,Australia,SO43810,1,1,3399.99
346,2019-07-23,11026,Australia,SO43811,1,1,3399.99
311,2019-07-24,16494,Australia,SO43815,1,1,3578.27
314,2019-07-24,16496,Australia,SO43816,1,1,3578.27
310,2019-07-24,16519,Australia,SO43817,1,1,3578.27
