PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
478,2022-04-01,15402,Canada,SO67512,1,1,9.99
478,2022-04-01,19147,Canada,SO67520,3,1,9.99
478,2022-04-01,17385,Canada,SO67540,2,1,9.99
478,2022-04-01,22267,Canada,SO67544,2,1,9.99
478,2022-04-02,16649,Canada,SO67614,2,1,9.99
478,2022-04-03,15761,Canada,SO67664,1,1,9.99
478,2022-04-26,13285,Canada,SO69187,1,1,9.99
478,2022-04-27,15244,Canada,SO69267,1,1,9.99
478,2022-04-28,28261,Canada,SO69340,2,1,9.99
478,2022-04-29,12959,Canada,SO69597,1,1,9.99
478,2022-04-29,12140,Canada,SO69599,2,1,9.99
478,2022-04-22,12182,Canada,SO68909,1,1,9.99
478,2022-04-22,12970,Canada,SO68910,2,1,9.99
478,2022-04-23,11922,Canada,SO68974,2,1,9.99
478,2022-04-24,15378,Canada,SO69042,1,1,9.99
478,2022-04-25,16096,Canada,SO69109,1,1,9.99
478,2022-04-26,15866,Canada,SO69186,1,1,9.99
478,2022-04-14,21732,Canada,SO68366,2,1,9.99
478,2022-04-17,15488,Canada,SO68566,2,1,9.99
478,2022-04-17,14341,Canada,SO68567,2,1,9.99
478,2022-04-18,11131,Canada,SO68646,1,1,9.99
478,2022-04-18,11251,Canada,SO68660,2,1,9.99
478,2022-04-20,13201,Canada,SO68758,1,1,9.99
478,2022-04-03,12964,Canada,SO67665,2,1,9.99
478,2022-04-03,18506,Canada,SO67670,2,1,9.99
478,2022-04-04,12202,Canada,SO67711,4,1,9.99
478,2022-04-04,16479,Canada,SO67713,2,1,9.99
478,2022-04-05,15468,Canada,SO67793,1,1,9.99
478,2022-04-14,15526,Canada,SO68358,1,1,9.99
479,2022-04-10,14605,Canada,SO68138,2,1,8.99
479,2022-04-10,20209,Canada,SO68143,2,1,8.99
479,2022-04-14,11500,Canada,SO68343,1,1,8.99
479,2022-04-17,21642,Canada,SO68612,2,1,8.99
479,2022-04-18,11253,Canada,SO68624,1,1,8.99
