PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
310,2019-06-29,21768,Canada,SO43697,1,1,3578.27
312,2019-07-16,21659,Canada,SO43769,1,1,3578.27
311,2019-07-21,21710,Canada,SO43800,1,1,3578.27
314,2019-07-22,21741,Canada,SO43803,1,1,3578.27
310,2019-07-27,21727,Canada,SO43833,1,1,3578.27
348,2019-07-27,19802,Canada,SO43835,1,1,3374.99
324,2019-07-27,26620,Canada,SO43836,1,1,699.0982
313,2019-07-29,22041,Canada,SO43918,1,1,3578.27
314,2019-08-09,21939,Canada,SO43972,1,1,3578.27
312,2019-08-15,21813,Canada,SO43995,1,1,3578.27
334,2019-08-16,26629,Canada,SO44005,1,1,699.0982
313,2019-08-19,22008,Canada,SO44022,1,1,3578.27
349,2019-08-19,19830,Canada,SO44023,1,1,3374.99
310,2019-08-20,21921,Canada,SO44027,1,1,3578.27
310,2019-08-27,22050,Canada,SO44064,1,1,3578.27
349,2019-08-28,19829,Canada,SO44070,1,1,3374.99
311,2019-09-01,22114,Canada,SO44136,1,1,3578.27
313,2019-09-02,22058,Canada,SO44142,1,1,3578.27
311,2019-09-19,22109,Canada,SO44218,1,1,3578.27
313,2019-09-22,22117,Canada,SO44235,1,1,3578.27
312,2019-09-27,22112,Canada,SO44261,1,1,3578.27
350,2019-10-14,19844,Canada,SO44403,1,1,3374.99
322,2019-10-21,26630,Canada,SO44436,1,1,699.0982
312,2019-10-22,22118,Canada,SO44441,1,1,3578.27
314,2019-10-28,22120,Canada,SO44464,1,1,3578.27
334,2019-10-28,26640,Canada,SO44466,1,1,699.0982
342,2019-11-04,26683,Canada,SO44588,1,1,699.0982
310,2019-11-18,22233,Canada,SO44677,1,1,3578.27
310,2019-11-18,22121,Canada,SO44678,1,1,3578.27
311,2019-11-21,22232,Canada,SO44694,1,1,3578.27
346,2019-11-21,19855,Canada,SO44695,1,1,3399.99
313,2019-11-23,22234,Canada,SO44699,1,1,3578.27
313,2019-11-26,22128,Canada,SO44713,1,1,3578.27
314,2019-11-26,22182,Canada,SO44715,1,1,3578.27
314,2019-11-26,22230,Canada,SO44716,1,1,3578.27
342,2019-11-27,26643,Canada,SO44721,1,1,699.0982
311,2019-12-01,22732,Canada,SO44811,1,1,3578.27
310,2019-12-07,22299,Canada,SO44851,1,1,3578.27
348,2019-12-07,19874,Canada,SO44853,1,1,3374.99
320,2019-12-07,26692,Canada,SO44855,1,1,699.0982
313,2019-12-12,22267,Canada,SO44892,1,1,3578.27
311,2019-12-18,22251,Canada,SO44937,1,1,3578.27
310,2019-12-20,22247,Canada,SO44957,1,1,3578.27
314,2019-12-20,22373,Canada,SO44960,1,1,3578.27
312,2019-12-21,22713,Canada,SO44969,1,1,3578.27
310,2019-12-23,22252,Canada,SO44983,1,1,3578.27
313,2019-12-27,22268,Canada,SO45011,1,1,3578.27
338,2020-01-01,26782,Canada,SO45081,1,1,699.0982
310,2020-01-03,22785,Canada,SO45094,1,1,3578.27
313,2020-01-05,22748,Canada,SO45101,1,1,3578.27
312,2020-01-06,22765,Canada,SO45105,1,1,3578.27
348,2020-01-06,19987,Canada,SO45106,1,1,3374.99
310,2020-01-06,22975,Canada,SO45108,1,1,3578.27
311,2020-01-09,22971,Canada,SO45123,1,1,3578.27
314,2020-01-11,22895,Canada,SO45134,1,1,3578.27
311,2020-01-12,22901,Canada,SO45142,1,1,3578.27
313,2020-01-16,22881,Canada,SO45165,1,1,3578.27
310,2020-01-20,22889,Canada,SO45193,1,1,3578.27
344,2020-01-22,19884,Canada,SO45208,1,1,3399.99
313,2020-01-24,22893,Canada,SO45219,1,1,3578.27
314,2020-01-24,22903,Canada,SO45221,1,1,3578.27
312,2020-01-30,22877,Canada,SO45252,1,1,3578.27
312,2020-02-01,28648,Canada,SO45346,1,1,3578.27
310,2020-02-02,28630,Canada,SO45353,1,1,3578.27
312,2020-02-02,28778,Canada,SO45355,1,1,3578.27
312,2020-02-03,23172,Canada,SO45358,1,1,3578.27
313,2020-02-03,28036,Canada,SO45360,1,1,3578.27
312,2020-02-03,23057,Canada,SO45361,1,1,3578.27
312,2020-02-05,22996,Canada,SO45374,1,1,3578.27
310,2020-02-06,28178,Canada,SO45378,1,1,3578.27
313,2020-02-06,28363,Canada,SO45379,1,1,3578.27
344,2020-02-06,19988,Canada,SO45381,1,1,3399.99
338,2020-02-06,26789,Canada,SO45384,1,1,699.0982
314,2020-02-10,23114,Canada,SO45403,1,1,3578.27
312,2020-02-10,23209,Canada,SO45405,1,1,3578.27
313,2020-02-11,28197,Canada,SO45411,1,1,3578.27
310,2020-02-11,23137,Canada,SO45412,1,1,3578.27
312,2020-02-11,28092,Canada,SO45415,1,1,3578.27
310,2020-02-11,28161,Canada,SO45416,1,1,3578.27
310,2020-02-11,28620,Canada,SO45417,1,1,3578.27
310,2020-02-12,28198,Canada,SO45422,1,1,3578.27
348,2020-02-12,19997,Canada,SO45423,1,1,3374.99
311,2020-02-12,28165,Canada,SO45424,1,1,3578.27
310,2020-02-13,28129,Canada,SO45429,1,1,3578.27
312,2020-02-13,28176,Canada,SO45430,1,1,3578.27
311,2020-02-13,28013,Canada,SO45431,1,1,3578.27
312,2020-02-14,28130,Canada,SO45436,1,1,3578.27
312,2020-02-14,28169,Canada,SO45437,1,1,3578.27
312,2020-02-17,28624,Canada,SO45450,1,1,3578.27
