PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
528,2022-01-01,17816,France,SO61344,1,1,4.99
536,2022-01-01,17816,France,SO61344,2,1,29.99
480,2022-01-01,17816,France,SO61344,3,1,2.29
541,2022-01-01,23919,France,SO61348,1,1,28.99
530,2022-01-01,23919,France,SO61348,2,1,4.99
463,2022-01-01,23919,France,SO61348,3,1,24.49
564,2022-01-01,14185,France,SO61366,1,1,2384.07
477,2022-01-01,14185,France,SO61366,2,1,4.99
479,2022-01-01,14185,France,SO61366,3,1,8.99
487,2022-01-01,14185,France,SO61366,4,1,54.99
378,2022-01-02,16436,France,SO61379,1,1,2443.35
529,2022-01-02,16436,France,SO61379,2,1,3.99
540,2022-01-02,16436,France,SO61379,3,1,32.6
222,2022-01-02,16436,France,SO61379,4,1,34.99
528,2022-01-02,14942,France,SO61403,1,1,4.99
528,2022-01-02,21522,France,SO61406,1,1,4.99
536,2022-01-02,21522,France,SO61406,2,1,29.99
217,2022-01-02,21522,France,SO61406,3,1,34.99
488,2022-01-02,21522,France,SO61406,4,1,53.99
529,2022-01-02,20974,France,SO61407,1,1,3.99
480,2022-01-02,20974,France,SO61407,2,1,2.29
483,2022-01-02,20974,France,SO61407,3,1,120
355,2022-01-03,15923,France,SO61441,1,1,2319.99
478,2022-01-03,15923,France,SO61441,2,1,9.99
477,2022-01-03,15923,France,SO61441,3,1,4.99
467,2022-01-03,15923,France,SO61441,4,1,24.49
363,2022-01-03,15700,France,SO61442,1,1,2294.99
537,2022-01-03,15700,France,SO61442,2,1,35
528,2022-01-03,14536,France,SO61459,1,1,4.99
472,2022-01-03,14536,France,SO61459,2,1,63.5
528,2022-01-03,15442,France,SO61460,1,1,4.99
535,2022-01-03,15442,France,SO61460,2,1,24.99
473,2022-01-03,15442,France,SO61460,3,1,63.5
585,2022-01-03,27006,France,SO61467,1,1,742.35
484,2022-01-03,27006,France,SO61467,2,1,7.95
566,2022-01-03,27118,France,SO61468,1,1,742.35
217,2022-01-03,27118,France,SO61468,2,1,34.99
560,2022-01-03,16424,France,SO61469,1,1,1214.85
382,2022-01-03,27795,France,SO61480,1,1,1120.49
490,2022-01-03,27795,France,SO61480,2,1,53.99
363,2022-01-04,15637,France,SO61490,1,1,2294.99
