PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
346,2019-06-29,28389,France,SO43698,1,1,3399.99
312,2019-07-08,11606,France,SO43738,1,1,3578.27
311,2019-07-11,11591,France,SO43750,1,1,3578.27
313,2019-07-11,11592,France,SO43751,1,1,3578.27
311,2019-07-18,11599,France,SO43780,1,1,3578.27
311,2019-07-19,11601,France,SO43785,1,1,3578.27
311,2019-07-19,11607,France,SO43786,1,1,3578.27
342,2019-07-20,17956,France,SO43796,1,1,699.0982
312,2019-07-21,11593,France,SO43802,1,1,3578.27
312,2019-07-23,11611,France,SO43807,1,1,3578.27
350,2019-07-24,28390,France,SO43813,1,1,3374.99
348,2019-07-27,28393,France,SO43834,1,1,3374.99
326,2019-07-28,17957,France,SO43840,1,1,699.0982
314,2019-07-29,12124,France,SO43919,1,1,3578.27
310,2019-07-30,12132,France,SO43924,1,1,3578.27
311,2019-08-21,12131,France,SO44030,1,1,3578.27
342,2019-08-22,17971,France,SO44039,1,1,699.0982
344,2019-08-23,28394,France,SO44045,1,1,3399.99
349,2019-08-28,28395,France,SO44069,1,1,3374.99
311,2019-09-02,12221,France,SO44140,1,1,3578.27
313,2019-09-07,12211,France,SO44168,1,1,3578.27
314,2019-09-09,12220,France,SO44176,1,1,3578.27
313,2019-09-16,12254,France,SO44201,1,1,3578.27
313,2019-09-21,12255,France,SO44226,1,1,3578.27
349,2019-09-21,28401,France,SO44227,1,1,3374.99
334,2019-09-21,17973,France,SO44231,1,1,699.0982
311,2019-09-23,12217,France,SO44239,1,1,3578.27
312,2019-09-24,12219,France,SO44246,1,1,3578.27
313,2019-09-27,12212,France,SO44257,1,1,3578.27
311,2019-09-30,12256,France,SO44272,1,1,3578.27
328,2019-09-30,17975,France,SO44322,1,1,699.0982
311,2019-10-01,12267,France,SO44324,1,1,3578.27
312,2019-10-22,12261,France,SO44440,1,1,3578.27
312,2019-10-26,12265,France,SO44447,1,1,3578.27
330,2019-11-05,17987,France,SO44591,1,1,699.0982
310,2019-11-06,12290,France,SO44597,1,1,3578.27
312,2019-11-10,12301,France,SO44623,1,1,3578.27
314,2019-11-13,12280,France,SO44643,1,1,3578.27
311,2019-11-13,12279,France,SO44644,1,1,3578.27
350,2019-11-14,28407,France,SO44652,1,1,3374.99
312,2019-11-19,12296,France,SO44680,1,1,3578.27
342,2019-11-19,17982,France,SO44681,1,1,699.0982
346,2019-11-21,28414,France,SO44691,1,1,3399.99
311,2019-11-24,12300,France,SO44703,1,1,3578.27
310,2019-11-29,12307,France,SO44729,1,1,3578.27
313,2019-11-30,12285,France,SO44734,1,1,3578.27
310,2019-11-30,12383,France,SO44803,1,1,3578.27
312,2019-12-02,12321,France,SO44816,1,1,3578.27
314,2019-12-03,12308,France,SO44826,1,1,3578.27
348,2019-12-07,28418,France,SO44848,1,1,3374.99
322,2019-12-07,17996,France,SO44849,1,1,699.0982
320,2019-12-10,18004,France,SO44874,1,1,699.0982
313,2019-12-13,12332,France,SO44901,1,1,3578.27
312,2019-12-17,12398,France,SO44929,1,1,3578.27
312,2019-12-18,12333,France,SO44935,1,1,3578.27
312,2019-12-19,12395,France,SO44948,1,1,3578.27
314,2019-12-24,12323,France,SO44987,1,1,3578.27
338,2019-12-24,17999,France,SO44988,1,1,699.0982
312,2019-12-27,12373,France,SO45006,1,1,3578.27
313,2020-01-01,12494,France,SO45078,1,1,3578.27
312,2020-01-04,12483,France,SO45096,1,1,3578.27
311,2020-01-10,12480,France,SO45126,1,1,3578.27
314,2020-01-12,12468,France,SO45139,1,1,3578.27
312,2020-01-12,12485,France,SO45140,1,1,3578.27
344,2020-01-15,28419,France,SO45158,1,1,3399.99
334,2020-01-17,18008,France,SO45172,1,1,699.0982
344,2020-01-22,28420,France,SO45205,1,1,3399.99
313,2020-01-22,12474,France,SO45206,1,1,3578.27
310,2020-01-23,12464,France,SO45214,1,1,3578.27
328,2020-01-27,18009,France,SO45234,1,1,699.0982
313,2020-02-02,12520,France,SO45351,1,1,3578.27
351,2020-02-03,28443,France,SO45357,1,1,3374.99
330,2020-02-04,18011,France,SO45366,1,1,699.0982
348,2020-02-05,28449,France,SO45372,1,1,3374.99
324,2020-02-06,18010,France,SO45380,1,1,699.0982
330,2020-02-11,18038,France,SO45414,1,1,699.0982
310,2020-02-14,12547,France,SO45433,1,1,3578.27
311,2020-02-18,12549,France,SO45453,1,1,3578.27
310,2020-02-24,12522,France,SO45482,1,1,3578.27
310,2020-02-27,12510,France,SO45508,1,1,3578.27
311,2020-02-28,12523,France,SO45511,1,1,3578.27
311,2020-02-29,12613,France,SO45586,1,1,3578.27
312,2020-03-01,12607,France,SO45602,1,1,3578.27
342,2020-03-03,18137,France,SO45615,1,1,699.0982
311,2020-03-03,12618,France,SO45618,1,1,3578.27
344,2020-03-04,28470,France,SO45622,1,1,3399.99
324,2020-03-04,18039,France,SO45627,1,1,699.0982
350,2020-03-08,28458,France,SO45644,1,1,3374.99
348,2020-03-10,28478,France,SO45654,1,1,3374.99
322,2020-03-14,18132,France,SO45685,1,1,699.0982
320,2020-03-16,18131,France,SO45702,1,1,699.0982
312,2020-03-20,12620,France,SO45724,1,1,3578.27
313,2020-03-20,12614,France,SO45726,1,1,3578.27
350,2020-03-21,28471,France,SO45730,1,1,3374.99
332,2020-03-23,18046,France,SO45748,1,1,699.0982
312,2020-03-25,12561,France,SO45757,1,1,3578.27
312,2020-03-25,12621,France,SO45762,1,1,3578.27
311,2020-04-03,12804,France,SO45841,1,1,3578.27
340,2020-04-05,18143,France,SO45852,1,1,699.0982
314,2020-04-06,12754,France,SO45859,1,1,3578.27
311,2020-04-06,12650,France,SO45861,1,1,3578.27
310,2020-04-10,12750,France,SO45878,1,1,3578.27
313,2020-04-10,12655,France,SO45885,1,1,3578.27
311,2020-04-12,12632,France,SO45896,1,1,3578.27
328,2020-04-16,18148,France,SO45930,1,1,699.0982
312,2020-04-21,12717,France,SO45961,1,1,3578.27
310,2020-04-24,12805,France,SO45981,1,1,3578.27
311,2020-04-25,12631,France,SO45989,1,1,3578.27
314,2020-04-25,12711,France,SO45990,1,1,3578.27
312,2020-04-27,12749,France,SO46005,1,1,3578.27
311,2020-05-01,13405,France,SO46138,1,1,3578.27
311,2020-05-05,12819,France,SO46161,1,1,3578.27
351,2020-05-09,28492,France,SO46183,1,1,3374.99
314,2020-05-10,12830,France,SO46192,1,1,3578.27
342,2020-05-10,18634,France,SO46193,1,1,699.0982
312,2020-05-11,12849,France,SO46209,1,1,3578.27
313,2020-05-11,12866,France,SO46210,1,1,3578.27
328,2020-05-12,18163,France,SO46211,1,1,699.0982
313,2020-05-13,12820,France,SO46218,1,1,3578.27
313,2020-05-13,13263,France,SO46226,1,1,3578.27
312,2020-05-14,12843,France,SO46237,1,1,3578.27
310,2020-05-15,13504,France,SO46244,1,1,3578.27
310,2020-05-18,12834,France,SO46263,1,1,3578.27
350,2020-05-19,28491,France,SO46264,1,1,3374.99
338,2020-05-22,18175,France,SO46286,1,1,699.0982
313,2020-05-24,12817,France,SO46301,1,1,3578.27
314,2020-05-26,12841,France,SO46311,1,1,3578.27
313,2020-05-29,13537,France,SO46392,1,1,3578.27
313,2020-06-03,13511,France,SO46420,1,1,3578.27
314,2020-06-05,13564,France,SO46430,1,1,3578.27
332,2020-06-10,19033,France,SO46469,1,1,699.0982
310,2020-06-16,13558,France,SO46497,1,1,3578.27
328,2020-06-16,19051,France,SO46502,1,1,699.0982
349,2020-06-17,28504,France,SO46508,1,1,3374.99
342,2020-06-17,19028,France,SO46514,1,1,699.0982
338,2020-06-19,19041,France,SO46532,1,1,699.0982
311,2020-06-19,13556,France,SO46536,1,1,3578.27
313,2020-06-24,13536,France,SO46570,1,1,3578.27
314,2020-06-24,13552,France,SO46572,1,1,3578.27
314,2020-06-24,13555,France,SO46573,1,1,3578.27
334,2020-06-28,19027,France,SO46600,1,1,699.0982
381,2020-07-01,16942,France,SO46700,1,1,1000.4375
369,2020-07-02,13592,France,SO46711,1,1,2443.35
373,2020-07-02,13779,France,SO46712,1,1,2181.5625
371,2020-07-03,13667,France,SO46720,1,1,2181.5625
385,2020-07-03,17095,France,SO46722,1,1,1000.4375
337,2020-07-10,19069,France,SO46783,1,1,782.99
