PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
311,2019-07-01,13513,Germany,SO43712,1,1,3578.27
311,2019-07-03,13264,Germany,SO43720,1,1,3578.27
311,2019-07-05,13258,Germany,SO43725,1,1,3578.27
311,2019-07-08,13261,Germany,SO43737,1,1,3578.27
311,2019-07-11,13265,Germany,SO43752,1,1,3578.27
310,2019-07-13,13257,Germany,SO43759,1,1,3578.27
314,2019-07-17,13260,Germany,SO43776,1,1,3578.27
344,2019-07-19,29385,Germany,SO43787,1,1,3399.99
313,2019-07-23,13259,Germany,SO43808,1,1,3578.27
314,2019-07-28,13406,Germany,SO43841,1,1,3578.27
310,2019-07-29,13546,Germany,SO43922,1,1,3578.27
313,2019-08-01,13548,Germany,SO43931,1,1,3578.27
312,2019-08-09,13540,Germany,SO43975,1,1,3578.27
311,2019-08-11,13545,Germany,SO43984,1,1,3578.27
313,2019-08-11,13515,Germany,SO43985,1,1,3578.27
342,2019-08-16,19325,Germany,SO44003,1,1,699.0982
310,2019-08-17,13514,Germany,SO44011,1,1,3578.27
314,2019-08-24,13538,Germany,SO44049,1,1,3578.27
338,2019-08-26,19329,Germany,SO44053,1,1,699.0982
314,2019-08-26,13542,Germany,SO44054,1,1,3578.27
310,2019-08-26,13543,Germany,SO44055,1,1,3578.27
314,2019-08-26,13559,Germany,SO44056,1,1,3578.27
313,2019-08-28,13541,Germany,SO44068,1,1,3578.27
313,2019-09-02,13572,Germany,SO44141,1,1,3578.27
311,2019-09-05,13567,Germany,SO44158,1,1,3578.27
312,2019-09-14,13570,Germany,SO44192,1,1,3578.27
314,2019-09-19,13560,Germany,SO44216,1,1,3578.27
311,2019-09-23,13580,Germany,SO44240,1,1,3578.27
310,2019-09-27,13579,Germany,SO44258,1,1,3578.27
336,2019-09-28,19339,Germany,SO44267,1,1,699.0982
310,2019-10-08,13686,Germany,SO44361,1,1,3578.27
310,2019-10-10,13767,Germany,SO44373,1,1,3578.27
349,2019-10-10,29399,Germany,SO44376,1,1,3374.99
345,2019-10-12,29398,Germany,SO44393,1,1,3399.99
314,2019-10-14,13666,Germany,SO44402,1,1,3578.27
310,2019-10-17,13606,Germany,SO44413,1,1,3578.27
313,2019-10-18,13607,Germany,SO44421,1,1,3578.27
326,2019-10-18,19353,Germany,SO44422,1,1,699.0982
314,2019-10-19,13770,Germany,SO44426,1,1,3578.27
311,2019-10-24,13697,Germany,SO44444,1,1,3578.27
332,2019-10-28,19340,Germany,SO44463,1,1,699.0982
312,2019-10-29,13685,Germany,SO44472,1,1,3578.27
350,2019-10-30,29391,Germany,SO44479,1,1,3374.99
347,2019-11-01,29448,Germany,SO44571,1,1,3399.99
314,2019-11-03,13782,Germany,SO44580,1,1,3578.27
310,2019-11-05,13795,Germany,SO44590,1,1,3578.27
348,2019-11-06,29400,Germany,SO44598,1,1,3374.99
322,2019-11-07,19364,Germany,SO44604,1,1,699.0982
314,2019-11-08,13778,Germany,SO44611,1,1,3578.27
312,2019-11-09,13789,Germany,SO44619,1,1,3578.27
311,2019-11-09,13771,Germany,SO44622,1,1,3578.27
342,2019-11-10,19357,Germany,SO44624,1,1,699.0982
344,2019-11-13,29449,Germany,SO44646,1,1,3399.99
314,2019-11-17,13790,Germany,SO44673,1,1,3578.27
350,2019-11-24,29403,Germany,SO44704,1,1,3374.99
310,2019-11-28,13774,Germany,SO44722,1,1,3578.27
345,2019-11-28,29410,Germany,SO44723,1,1,3399.99
311,2019-12-01,13836,Germany,SO44808,1,1,3578.27
350,2019-12-04,29467,Germany,SO44831,1,1,3374.99
312,2019-12-05,13808,Germany,SO44837,1,1,3578.27
311,2019-12-05,14138,Germany,SO44838,1,1,3578.27
310,2019-12-06,14140,Germany,SO44842,1,1,3578.27
336,2019-12-07,19417,Germany,SO44850,1,1,699.0982
314,2019-12-13,13829,Germany,SO44902,1,1,3578.27
312,2019-12-14,13822,Germany,SO44905,1,1,3578.27
324,2019-12-14,19415,Germany,SO44907,1,1,699.0982
310,2019-12-15,13842,Germany,SO44917,1,1,3578.27
350,2019-12-15,29466,Germany,SO44918,1,1,3374.99
349,2019-12-19,29474,Germany,SO44949,1,1,3374.99
342,2019-12-21,19365,Germany,SO44968,1,1,699.0982
312,2019-12-26,13844,Germany,SO45002,1,1,3578.27
310,2019-12-27,14137,Germany,SO45007,1,1,3578.27
338,2019-12-27,19387,Germany,SO45009,1,1,699.0982
310,2019-12-28,13807,Germany,SO45023,1,1,3578.27
344,2019-12-29,29475,Germany,SO45024,1,1,3399.99
311,2019-12-30,14139,Germany,SO45032,1,1,3578.27
326,2020-01-05,19428,Germany,SO45100,1,1,699.0982
346,2020-01-21,29476,Germany,SO45199,1,1,3399.99
328,2020-01-28,19420,Germany,SO45239,1,1,699.0982
310,2020-01-30,14147,Germany,SO45250,1,1,3578.27
334,2020-01-30,19422,Germany,SO45251,1,1,699.0982
340,2020-02-02,19432,Germany,SO45354,1,1,699.0982
311,2020-02-04,14161,Germany,SO45364,1,1,3578.27
312,2020-02-08,14171,Germany,SO45393,1,1,3578.27
313,2020-02-10,14162,Germany,SO45400,1,1,3578.27
310,2020-02-11,14149,Germany,SO45410,1,1,3578.27
312,2020-02-13,14164,Germany,SO45426,1,1,3578.27
349,2020-02-13,29481,Germany,SO45427,1,1,3374.99
312,2020-02-14,14167,Germany,SO45432,1,1,3578.27
312,2020-02-15,14198,Germany,SO45440,1,1,3578.27
310,2020-02-17,14189,Germany,SO45449,1,1,3578.27
310,2020-02-19,14163,Germany,SO45455,1,1,3578.27
313,2020-02-23,14160,Germany,SO45477,1,1,3578.27
314,2020-02-24,14181,Germany,SO45483,1,1,3578.27
330,2020-02-25,19429,Germany,SO45492,1,1,699.0982
310,2020-02-27,14148,Germany,SO45509,1,1,3578.27
310,2020-02-29,14428,Germany,SO45580,1,1,3578.27
311,2020-03-01,14774,Germany,SO45609,1,1,3578.27
312,2020-03-02,14795,Germany,SO45612,1,1,3578.27
314,2020-03-03,14800,Germany,SO45616,1,1,3578.27
311,2020-03-04,14769,Germany,SO45623,1,1,3578.27
350,2020-03-05,11237,Germany,SO45631,1,1,3374.99
314,2020-03-05,14775,Germany,SO45632,1,1,3578.27
310,2020-03-08,14541,Germany,SO45643,1,1,3578.27
312,2020-03-11,14713,Germany,SO45664,1,1,3578.27
340,2020-03-12,19438,Germany,SO45672,1,1,699.0982
311,2020-03-14,14709,Germany,SO45683,1,1,3578.27
313,2020-03-15,14425,Germany,SO45692,1,1,3578.27
312,2020-03-17,14772,Germany,SO45704,1,1,3578.27
312,2020-03-20,14789,Germany,SO45725,1,1,3578.27
313,2020-03-21,14426,Germany,SO45728,1,1,3578.27
311,2020-03-23,14797,Germany,SO45749,1,1,3578.27
350,2020-03-26,11245,Germany,SO45765,1,1,3374.99
314,2020-03-28,14207,Germany,SO45775,1,1,3578.27
311,2020-03-29,14801,Germany,SO45817,1,1,3578.27
311,2020-04-02,14823,Germany,SO45836,1,1,3578.27
349,2020-04-03,11246,Germany,SO45840,1,1,3374.99
312,2020-04-07,14827,Germany,SO45862,1,1,3578.27
310,2020-04-08,14819,Germany,SO45868,1,1,3578.27
310,2020-04-08,14822,Germany,SO45869,1,1,3578.27
347,2020-04-09,11249,Germany,SO45872,1,1,3399.99
338,2020-04-10,19443,Germany,SO45879,1,1,699.0982
349,2020-04-11,11338,Germany,SO45890,1,1,3374.99
346,2020-04-11,11380,Germany,SO45891,1,1,3399.99
332,2020-04-12,19450,Germany,SO45894,1,1,699.0982
346,2020-04-15,11332,Germany,SO45917,1,1,3399.99
310,2020-04-15,14803,Germany,SO45924,1,1,3578.27
326,2020-04-17,19439,Germany,SO45935,1,1,699.0982
312,2020-04-18,14824,Germany,SO45937,1,1,3578.27
326,2020-04-22,19454,Germany,SO45967,1,1,699.0982
345,2020-04-23,11335,Germany,SO45971,1,1,3399.99
324,2020-04-23,19472,Germany,SO45972,1,1,699.0982
314,2020-04-25,14830,Germany,SO45983,1,1,3578.27
334,2020-04-26,19451,Germany,SO45992,1,1,699.0982
330,2020-04-28,19453,Germany,SO46012,1,1,699.0982
314,2020-04-30,14945,Germany,SO46128,1,1,3578.27
320,2020-05-02,19501,Germany,SO46141,1,1,699.0982
345,2020-05-03,11421,Germany,SO46146,1,1,3399.99
320,2020-05-03,19476,Germany,SO46147,1,1,699.0982
351,2020-05-05,11412,Germany,SO46160,1,1,3374.99
311,2020-05-09,14834,Germany,SO46184,1,1,3578.27
310,2020-05-09,14956,Germany,SO46191,1,1,3578.27
344,2020-05-14,11395,Germany,SO46229,1,1,3399.99
311,2020-05-15,14838,Germany,SO46238,1,1,3578.27
312,2020-05-15,14927,Germany,SO46239,1,1,3578.27
314,2020-05-15,14967,Germany,SO46245,1,1,3578.27
313,2020-05-16,14940,Germany,SO46250,1,1,3578.27
313,2020-05-17,14939,Germany,SO46252,1,1,3578.27
322,2020-05-21,19482,Germany,SO46277,1,1,699.0982
326,2020-05-21,19496,Germany,SO46278,1,1,699.0982
311,2020-05-22,14951,Germany,SO46293,1,1,3578.27
311,2020-05-24,14952,Germany,SO46305,1,1,3578.27
314,2020-05-30,15055,Germany,SO46394,1,1,3578.27
314,2020-05-30,14990,Germany,SO46403,1,1,3578.27
313,2020-06-02,15073,Germany,SO46409,1,1,3578.27
345,2020-06-05,11428,Germany,SO46429,1,1,3399.99
313,2020-06-06,15054,Germany,SO46437,1,1,3578.27
314,2020-06-06,14997,Germany,SO46442,1,1,3578.27
348,2020-06-10,11423,Germany,SO46463,1,1,3374.99
310,2020-06-10,14979,Germany,SO46471,1,1,3578.27
311,2020-06-10,14969,Germany,SO46473,1,1,3578.27
332,2020-06-13,19901,Germany,SO46486,1,1,699.0982
328,2020-06-16,19518,Germany,SO46501,1,1,699.0982
340,2020-06-17,19904,Germany,SO46515,1,1,699.0982
311,2020-06-19,15063,Germany,SO46528,1,1,3578.27
344,2020-06-20,11427,Germany,SO46537,1,1,3399.99
347,2020-06-21,11431,Germany,SO46542,1,1,3399.99
311,2020-06-22,14978,Germany,SO46562,1,1,3578.27
314,2020-06-26,15050,Germany,SO46585,1,1,3578.27
311,2020-06-28,15080,Germany,SO46598,1,1,3578.27
385,2020-06-29,18047,Germany,SO46676,1,1,1000.4375
371,2020-06-29,15460,Germany,SO46677,1,1,2181.5625
331,2020-06-29,19930,Germany,SO46678,1,1,782.99
381,2020-06-30,18125,Germany,SO46684,1,1,1000.4375
379,2020-06-30,15457,Germany,SO46687,1,1,2181.5625
375,2020-07-01,15114,Germany,SO46701,1,1,2181.5625
369,2020-07-01,15116,Germany,SO46702,1,1,2443.35
356,2020-07-02,11484,Germany,SO46710,1,1,2071.4196
379,2020-07-04,15100,Germany,SO46730,1,1,2181.5625
371,2020-07-04,15101,Germany,SO46731,1,1,2181.5625
343,2020-07-07,19931,Germany,SO46752,1,1,782.99
387,2020-07-08,18130,Germany,SO46758,1,1,1000.4375
325,2020-07-08,19924,Germany,SO46761,1,1,782.99
370,2020-07-09,15357,Germany,SO46770,1,1,2443.35
370,2020-07-14,15622,Germany,SO46810,1,1,2443.35
337,2020-07-16,19910,Germany,SO46830,1,1,782.99
379,2020-07-19,15117,Germany,SO46855,1,1,2181.5625
375,2020-07-20,15456,Germany,SO46865,1,1,2181.5625
362,2020-07-22,11470,Germany,SO46875,1,1,2049.0982
375,2020-07-22,15084,Germany,SO46876,1,1,2181.5625
362,2020-07-27,11481,Germany,SO46919,1,1,2049.0982
371,2020-07-28,15454,Germany,SO46921,1,1,2181.5625
369,2020-07-29,15667,Germany,SO47071,1,1,2443.35
341,2020-07-29,20062,Germany,SO47072,1,1,782.99
377,2020-08-01,15664,Germany,SO47094,1,1,2181.5625
389,2020-08-07,18133,Germany,SO47146,1,1,1000.4375
370,2020-08-08,15625,Germany,SO47150,1,1,2443.35
370,2020-08-10,15649,Germany,SO47165,1,1,2443.35
368,2020-08-10,15656,Germany,SO47166,1,1,2443.35
358,2020-08-11,11492,Germany,SO47176,1,1,2049.0982
385,2020-08-12,18134,Germany,SO47187,1,1,1000.4375
329,2020-08-12,20162,Germany,SO47193,1,1,782.99
323,2020-08-13,20051,Germany,SO47199,1,1,782.99
369,2020-08-16,15659,Germany,SO47224,1,1,2443.35
362,2020-08-16,11564,Germany,SO47231,1,1,2049.0982
373,2020-08-17,15627,Germany,SO47232,1,1,2181.5625
358,2020-08-19,11561,Germany,SO47255,1,1,2049.0982
381,2020-08-21,18140,Germany,SO47271,1,1,1000.4375
373,2020-08-22,15655,Germany,SO47283,1,1,2181.5625
329,2020-08-22,19944,Germany,SO47286,1,1,782.99
383,2020-08-23,18139,Germany,SO47294,1,1,1000.4375
371,2020-08-28,15626,Germany,SO47339,1,1,2181.5625
375,2020-09-01,15926,Germany,SO47462,1,1,2181.5625
369,2020-09-06,15932,Germany,SO47491,1,1,2443.35
373,2020-09-07,15927,Germany,SO47494,1,1,2181.5625
368,2020-09-07,16196,Germany,SO47495,1,1,2443.35
360,2020-09-08,11605,Germany,SO47504,1,1,2049.0982
368,2020-09-09,15675,Germany,SO47513,1,1,2443.35
377,2020-09-09,15684,Germany,SO47514,1,1,2181.5625
352,2020-09-11,11598,Germany,SO47528,1,1,2071.4196
333,2020-09-13,20166,Germany,SO47547,1,1,782.99
368,2020-09-13,15674,Germany,SO47555,1,1,2443.35
377,2020-09-16,15697,Germany,SO47565,1,1,2181.5625
333,2020-09-17,20171,Germany,SO47574,1,1,782.99
371,2020-09-18,16197,Germany,SO47579,1,1,2181.5625
373,2020-09-20,16199,Germany,SO47596,1,1,2181.5625
375,2020-09-22,15928,Germany,SO47606,1,1,2181.5625
370,2020-09-25,15685,Germany,SO47629,1,1,2443.35
356,2020-09-25,11570,Germany,SO47634,1,1,2071.4196
375,2020-09-28,15693,Germany,SO47644,1,1,2181.5625
325,2020-09-29,20163,Germany,SO47653,1,1,782.99
371,2020-10-01,16253,Germany,SO47747,1,1,2181.5625
325,2020-10-03,20548,Germany,SO47761,1,1,782.99
375,2020-10-06,16269,Germany,SO47779,1,1,2181.5625
369,2020-10-09,16207,Germany,SO47792,1,1,2443.35
329,2020-10-10,20555,Germany,SO47801,1,1,782.99
377,2020-10-11,16252,Germany,SO47812,1,1,2181.5625
368,2020-10-12,16267,Germany,SO47824,1,1,2443.35
321,2020-10-12,20560,Germany,SO47825,1,1,782.99
335,2020-10-14,20584,Germany,SO47840,1,1,782.99
369,2020-10-15,16206,Germany,SO47845,1,1,2443.35
368,2020-10-15,16278,Germany,SO47847,1,1,2443.35
387,2020-10-19,18157,Germany,SO47879,1,1,1000.4375
370,2020-10-20,16263,Germany,SO47890,1,1,2443.35
373,2020-10-20,16290,Germany,SO47891,1,1,2181.5625
335,2020-10-23,20556,Germany,SO47914,1,1,782.99
373,2020-10-26,16270,Germany,SO47933,1,1,2181.5625
321,2020-10-27,20549,Germany,SO47937,1,1,782.99
369,2020-10-29,16271,Germany,SO47956,1,1,2443.35
333,2020-10-30,20590,Germany,SO48095,1,1,782.99
360,2020-11-01,12128,Germany,SO48099,1,1,2049.0982
377,2020-11-02,16389,Germany,SO48103,1,1,2181.5625
371,2020-11-04,16307,Germany,SO48110,1,1,2181.5625
335,2020-11-04,20716,Germany,SO48113,1,1,782.99
377,2020-11-05,16309,Germany,SO48118,1,1,2181.5625
343,2020-11-06,20598,Germany,SO48127,1,1,782.99
352,2020-11-08,12130,Germany,SO48137,1,1,2071.4196
362,2020-11-09,12213,Germany,SO48142,1,1,2049.0982
327,2020-11-09,20720,Germany,SO48143,1,1,782.99
362,2020-11-10,11614,Germany,SO48148,1,1,2049.0982
371,2020-11-10,16298,Germany,SO48149,1,1,2181.5625
373,2020-11-12,16327,Germany,SO48165,1,1,2181.5625
