PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
539,2022-01-01,15146,New Zealand,SO61315,1,1,24.99
529,2022-01-01,15146,New Zealand,SO61315,2,1,3.99
222,2022-01-01,15146,New Zealand,SO61315,3,1,34.99
490,2022-01-01,15146,New Zealand,SO61315,4,1,53.99
225,2022-01-01,15146,New Zealand,SO61315,5,1,8.99
536,2022-01-01,21187,New Zealand,SO61316,1,1,29.99
480,2022-01-01,21187,New Zealand,SO61316,2,1,2.29
485,2022-01-01,17355,New Zealand,SO61317,1,1,21.98
485,2022-01-01,18492,New Zealand,SO61318,1,1,21.98
217,2022-01-01,18492,New Zealand,SO61318,2,1,34.99
529,2022-01-01,20262,New Zealand,SO61319,1,1,3.99
538,2022-01-01,20262,New Zealand,SO61319,2,1,21.49
480,2022-01-01,20262,New Zealand,SO61319,3,1,2.29
478,2022-01-01,28943,New Zealand,SO61320,1,1,9.99
477,2022-01-01,28943,New Zealand,SO61320,2,1,4.99
214,2022-01-01,28943,New Zealand,SO61320,3,1,34.99
237,2022-01-01,14319,New Zealand,SO61321,1,1,49.99
467,2022-01-01,14319,New Zealand,SO61321,2,1,24.49
480,2022-01-01,12371,New Zealand,SO61322,1,1,2.29
483,2022-01-01,12371,New Zealand,SO61322,2,1,120
384,2022-01-01,25127,New Zealand,SO61361,1,1,1120.49
491,2022-01-01,25127,New Zealand,SO61361,2,1,53.99
359,2022-01-01,13648,New Zealand,SO61362,1,1,2294.99
480,2022-01-01,13648,New Zealand,SO61362,2,1,2.29
575,2022-01-01,11099,New Zealand,SO61367,1,1,2384.07
477,2022-01-01,11099,New Zealand,SO61367,2,1,4.99
479,2022-01-01,11099,New Zealand,SO61367,3,1,8.99
489,2022-01-01,11099,New Zealand,SO61367,4,1,53.99
576,2022-01-01,11904,New Zealand,SO61368,1,1,2384.07
222,2022-01-01,11904,New Zealand,SO61368,2,1,34.99
565,2022-01-01,29084,New Zealand,SO61369,1,1,742.35
561,2022-01-01,11464,New Zealand,SO61370,1,1,2384.07
214,2022-01-01,11464,New Zealand,SO61370,2,1,34.99
606,2022-01-01,27515,New Zealand,SO61371,1,1,539.99
478,2022-01-02,11122,New Zealand,SO61373,1,1,9.99
217,2022-01-02,13046,New Zealand,SO61374,1,1,34.99
217,2022-01-02,13150,New Zealand,SO61375,1,1,34.99
484,2022-01-02,13613,New Zealand,SO61376,1,1,7.95
225,2022-01-02,18199,New Zealand,SO61377,1,1,8.99
225,2022-01-02,18270,New Zealand,SO61378,1,1,8.99
388,2022-01-02,17734,New Zealand,SO61417,1,1,1120.49
386,2022-01-02,24585,New Zealand,SO61418,1,1,1120.49
529,2022-01-02,24585,New Zealand,SO61418,2,1,3.99
539,2022-01-02,24585,New Zealand,SO61418,3,1,24.99
217,2022-01-02,24585,New Zealand,SO61418,4,1,34.99
388,2022-01-02,24484,New Zealand,SO61419,1,1,1120.49
363,2022-01-02,13122,New Zealand,SO61420,1,1,2294.99
