PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
583,2022-01-01,21683,United Kingdom,SO61325,1,1,1700.99
488,2022-01-01,21683,United Kingdom,SO61325,2,1,53.99
467,2022-01-01,21683,United Kingdom,SO61325,3,1,24.49
485,2022-01-01,16300,United Kingdom,SO61341,1,1,21.98
231,2022-01-01,16300,United Kingdom,SO61341,2,1,49.99
465,2022-01-01,22672,United Kingdom,SO61343,1,1,24.49
477,2022-01-01,22672,United Kingdom,SO61343,2,1,4.99
477,2022-01-01,16293,United Kingdom,SO61346,1,1,4.99
541,2022-01-01,12563,United Kingdom,SO61349,1,1,28.99
530,2022-01-01,12563,United Kingdom,SO61349,2,1,4.99
217,2022-01-01,12563,United Kingdom,SO61349,3,1,34.99
225,2022-01-01,12611,United Kingdom,SO61354,1,1,8.99
228,2022-01-01,12563,United Kingdom,SO61355,1,1,49.99
363,2022-01-02,12623,United Kingdom,SO61381,1,1,2294.99
537,2022-01-02,12623,United Kingdom,SO61381,2,1,35
357,2022-01-02,14429,United Kingdom,SO61383,1,1,2319.99
485,2022-01-02,14429,United Kingdom,SO61383,2,1,21.98
487,2022-01-02,14429,United Kingdom,SO61383,3,1,54.99
485,2022-01-02,16314,United Kingdom,SO61404,1,1,21.98
234,2022-01-02,16314,United Kingdom,SO61404,2,1,49.99
529,2022-01-02,26915,United Kingdom,SO61408,1,1,3.99
487,2022-01-02,26915,United Kingdom,SO61408,2,1,54.99
597,2022-01-03,17896,United Kingdom,SO61437,1,1,539.99
485,2022-01-03,17896,United Kingdom,SO61437,2,1,21.98
478,2022-01-03,17896,United Kingdom,SO61437,3,1,9.99
477,2022-01-03,17896,United Kingdom,SO61437,4,1,4.99
465,2022-01-03,17896,United Kingdom,SO61437,5,1,24.49
580,2022-01-03,21071,United Kingdom,SO61439,1,1,1700.99
228,2022-01-03,21071,United Kingdom,SO61439,2,1,49.99
562,2022-01-03,13600,United Kingdom,SO61470,1,1,2384.07
530,2022-01-03,13600,United Kingdom,SO61470,2,1,4.99
541,2022-01-03,13600,United Kingdom,SO61470,3,1,28.99
214,2022-01-03,13600,United Kingdom,SO61470,4,1,34.99
225,2022-01-03,13600,United Kingdom,SO61470,5,1,8.99
589,2022-01-04,21545,United Kingdom,SO61488,1,1,769.49
225,2022-01-04,21545,United Kingdom,SO61488,2,1,8.99
475,2022-01-04,21545,United Kingdom,SO61488,3,1,69.99
355,2022-01-04,13561,United Kingdom,SO61489,1,1,2319.99
485,2022-01-04,13561,United Kingdom,SO61489,2,1,21.98
480,2022-01-04,13561,United Kingdom,SO61489,3,1,2.29
359,2022-01-04,15118,United Kingdom,SO61492,1,1,2294.99
528,2022-01-04,19082,United Kingdom,SO61508,1,1,4.99
217,2022-01-04,19082,United Kingdom,SO61508,2,1,34.99
528,2022-01-04,21533,United Kingdom,SO61509,1,1,4.99
535,2022-01-04,21533,United Kingdom,SO61509,2,1,24.99
480,2022-01-04,21533,United Kingdom,SO61509,3,1,2.29
484,2022-01-04,21533,United Kingdom,SO61509,4,1,7.95
539,2022-01-04,20133,United Kingdom,SO61510,1,1,24.99
529,2022-01-04,20133,United Kingdom,SO61510,2,1,3.99
529,2022-01-04,28570,United Kingdom,SO61512,1,1,3.99
472,2022-01-04,28570,United Kingdom,SO61512,2,1,63.5
541,2022-01-04,14784,United Kingdom,SO61515,1,1,28.99
530,2022-01-04,14784,United Kingdom,SO61515,2,1,4.99
480,2022-01-04,14784,United Kingdom,SO61515,3,1,2.29
