PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
330,2019-06-30,20042,United Kingdom,SO43708,1,1,699.0982
311,2019-07-02,13591,United Kingdom,SO43714,1,1,3578.27
310,2019-07-03,13590,United Kingdom,SO43721,1,1,3578.27
312,2019-07-04,13581,United Kingdom,SO43722,1,1,3578.27
346,2019-07-06,11238,United Kingdom,SO43729,1,1,3399.99
310,2019-07-08,13563,United Kingdom,SO43739,1,1,3578.27
314,2019-07-09,13576,United Kingdom,SO43742,1,1,3578.27
332,2019-07-12,19941,United Kingdom,SO43756,1,1,699.0982
351,2019-07-19,11239,United Kingdom,SO43788,1,1,3374.99
311,2019-07-21,13583,United Kingdom,SO43801,1,1,3578.27
310,2019-07-22,13585,United Kingdom,SO43804,1,1,3578.27
342,2019-07-25,19942,United Kingdom,SO43823,1,1,699.0982
310,2019-07-26,13584,United Kingdom,SO43832,1,1,3578.27
334,2019-08-02,20048,United Kingdom,SO43935,1,1,699.0982
314,2019-08-03,13600,United Kingdom,SO43941,1,1,3578.27
342,2019-08-05,20049,United Kingdom,SO43953,1,1,699.0982
311,2019-08-05,13602,United Kingdom,SO43954,1,1,3578.27
314,2019-08-05,13661,United Kingdom,SO43955,1,1,3578.27
312,2019-08-09,13687,United Kingdom,SO43974,1,1,3578.27
344,2019-08-12,11244,United Kingdom,SO43988,1,1,3399.99
310,2019-08-17,13680,United Kingdom,SO44010,1,1,3578.27
311,2019-08-18,13693,United Kingdom,SO44015,1,1,3578.27
350,2019-08-18,11247,United Kingdom,SO44016,1,1,3374.99
313,2019-08-21,13689,United Kingdom,SO44031,1,1,3578.27
344,2019-08-21,11243,United Kingdom,SO44032,1,1,3399.99
313,2019-08-23,13678,United Kingdom,SO44042,1,1,3578.27
311,2019-08-23,13679,United Kingdom,SO44043,1,1,3578.27
314,2019-08-23,13690,United Kingdom,SO44044,1,1,3578.27
310,2019-08-25,13691,United Kingdom,SO44051,1,1,3578.27
344,2019-08-27,11240,United Kingdom,SO44063,1,1,3399.99
310,2019-09-01,13821,United Kingdom,SO44134,1,1,3578.27
310,2019-09-02,13765,United Kingdom,SO44138,1,1,3578.27
311,2019-09-02,13792,United Kingdom,SO44139,1,1,3578.27
346,2019-09-04,11334,United Kingdom,SO44152,1,1,3399.99
314,2019-09-06,13772,United Kingdom,SO44161,1,1,3578.27
312,2019-09-08,13784,United Kingdom,SO44173,1,1,3578.27
350,2019-09-09,11337,United Kingdom,SO44177,1,1,3374.99
334,2019-09-13,20052,United Kingdom,SO44188,1,1,699.0982
322,2019-09-13,20054,United Kingdom,SO44189,1,1,699.0982
347,2019-09-17,11250,United Kingdom,SO44206,1,1,3399.99
310,2019-09-18,13783,United Kingdom,SO44210,1,1,3578.27
310,2019-09-20,13847,United Kingdom,SO44223,1,1,3578.27
322,2019-09-21,20060,United Kingdom,SO44225,1,1,699.0982
344,2019-09-21,11333,United Kingdom,SO44228,1,1,3399.99
310,2019-09-22,13841,United Kingdom,SO44233,1,1,3578.27
313,2019-09-25,13845,United Kingdom,SO44249,1,1,3578.27
312,2019-09-26,13777,United Kingdom,SO44252,1,1,3578.27
322,2019-09-27,20149,United Kingdom,SO44262,1,1,699.0982
312,2019-09-28,13820,United Kingdom,SO44268,1,1,3578.27
314,2019-09-30,13794,United Kingdom,SO44270,1,1,3578.27
314,2019-09-30,13846,United Kingdom,SO44271,1,1,3578.27
314,2019-09-30,14429,United Kingdom,SO44320,1,1,3578.27
345,2019-10-04,11343,United Kingdom,SO44333,1,1,3399.99
324,2019-10-04,20165,United Kingdom,SO44335,1,1,699.0982
310,2019-10-06,14427,United Kingdom,SO44344,1,1,3578.27
313,2019-10-07,14159,United Kingdom,SO44348,1,1,3578.27
311,2019-10-08,14525,United Kingdom,SO44359,1,1,3578.27
311,2019-10-08,14158,United Kingdom,SO44360,1,1,3578.27
314,2019-10-09,14150,United Kingdom,SO44368,1,1,3578.27
310,2019-10-10,14157,United Kingdom,SO44374,1,1,3578.27
310,2019-10-10,14183,United Kingdom,SO44375,1,1,3578.27
313,2019-10-11,14191,United Kingdom,SO44381,1,1,3578.27
347,2019-10-11,11341,United Kingdom,SO44382,1,1,3399.99
314,2019-10-19,14146,United Kingdom,SO44427,1,1,3578.27
314,2019-10-20,14165,United Kingdom,SO44432,1,1,3578.27
310,2019-10-22,14195,United Kingdom,SO44439,1,1,3578.27
332,2019-10-26,20164,United Kingdom,SO44452,1,1,699.0982
334,2019-10-27,20150,United Kingdom,SO44460,1,1,699.0982
311,2019-10-28,14155,United Kingdom,SO44462,1,1,3578.27
314,2019-11-07,14702,United Kingdom,SO44602,1,1,3578.27
342,2019-11-07,20167,United Kingdom,SO44603,1,1,699.0982
314,2019-11-12,14705,United Kingdom,SO44636,1,1,3578.27
344,2019-11-13,11344,United Kingdom,SO44645,1,1,3399.99
313,2019-11-14,14720,United Kingdom,SO44651,1,1,3578.27
326,2019-11-14,20170,United Kingdom,SO44653,1,1,699.0982
313,2019-11-20,14712,United Kingdom,SO44686,1,1,3578.27
342,2019-11-20,20172,United Kingdom,SO44687,1,1,699.0982
313,2019-11-27,14700,United Kingdom,SO44719,1,1,3578.27
311,2019-11-29,14697,United Kingdom,SO44730,1,1,3578.27
342,2019-12-01,20552,United Kingdom,SO44809,1,1,699.0982
312,2019-12-02,14777,United Kingdom,SO44817,1,1,3578.27
313,2019-12-08,14793,United Kingdom,SO44867,1,1,3578.27
310,2019-12-11,14833,United Kingdom,SO44885,1,1,3578.27
348,2019-12-12,11351,United Kingdom,SO44889,1,1,3374.99
346,2019-12-12,11381,United Kingdom,SO44890,1,1,3399.99
351,2019-12-12,11353,United Kingdom,SO44899,1,1,3374.99
314,2019-12-13,14778,United Kingdom,SO44900,1,1,3578.27
311,2019-12-14,14832,United Kingdom,SO44906,1,1,3578.27
314,2019-12-17,14843,United Kingdom,SO44928,1,1,3578.27
312,2019-12-18,14771,United Kingdom,SO44934,1,1,3578.27
332,2019-12-20,20173,United Kingdom,SO44958,1,1,699.0982
310,2019-12-21,14794,United Kingdom,SO44967,1,1,3578.27
312,2019-12-22,14776,United Kingdom,SO44974,1,1,3578.27
313,2019-12-27,14831,United Kingdom,SO45008,1,1,3578.27
310,2019-12-28,14770,United Kingdom,SO45016,1,1,3578.27
313,2019-12-30,14792,United Kingdom,SO45031,1,1,3578.27
312,2020-01-02,14947,United Kingdom,SO45083,1,1,3578.27
350,2020-01-03,11388,United Kingdom,SO45087,1,1,3374.99
345,2020-01-03,11398,United Kingdom,SO45088,1,1,3399.99
344,2020-01-04,11394,United Kingdom,SO45095,1,1,3399.99
311,2020-01-07,14937,United Kingdom,SO45109,1,1,3578.27
324,2020-01-07,20558,United Kingdom,SO45112,1,1,699.0982
313,2020-01-11,14975,United Kingdom,SO45130,1,1,3578.27
310,2020-01-13,14950,United Kingdom,SO45146,1,1,3578.27
314,2020-01-14,14941,United Kingdom,SO45149,1,1,3578.27
349,2020-01-15,11400,United Kingdom,SO45159,1,1,3374.99
310,2020-01-15,14984,United Kingdom,SO45160,1,1,3578.27
311,2020-01-18,15046,United Kingdom,SO45180,1,1,3578.27
310,2020-01-18,14929,United Kingdom,SO45181,1,1,3578.27
