SalesKey,OrderDate,CustomerKey,TerritoryRegion,OrderNumber,LineNumber,Quantity,Price
312,2020-01-01,29255,Southwest,SO45079,1,1.0000,3578.2700
332,2020-01-01,14657,Northwest,SO45080,1,1.0000,699.0982
310,2020-01-02,29143,Southwest,SO45084,1,1.0000,3578.2700
351,2020-01-03,25977,Southwest,SO45089,1,1.0000,3374.9900
310,2020-01-03,29170,Southwest,SO45090,1,1.0000,3578.2700
313,2020-01-04,29151,Southwest,SO45097,1,1.0000,3578.2700
310,2020-01-04,29167,Northwest,SO45098,1,1.0000,3578.2700
312,2020-01-04,29174,Northwest,SO45099,1,1.0000,3578.2700
310,2020-01-05,29274,Southwest,SO45102,1,1.0000,3578.2700
310,2020-01-06,29140,Northwest,SO45103,1,1.0000,3578.2700
310,2020-01-06,29142,Southwest,SO45104,1,1.0000,3578.2700
312,2020-01-06,29275,Southwest,SO45107,1,1.0000,3578.2700
313,2020-01-08,29141,Southwest,SO45113,1,1.0000,3578.2700
310,2020-01-08,29146,Northwest,SO45114,1,1.0000,3578.2700
348,2020-01-08,25984,Southwest,SO45115,1,1.0000,3374.9900
311,2020-01-08,29204,Northwest,SO45116,1,1.0000,3578.2700
342,2020-01-08,14727,Northwest,SO45117,1,1.0000,699.0982
310,2020-01-09,29169,Northwest,SO45121,1,1.0000,3578.2700
314,2020-01-09,29236,Southwest,SO45122,1,1.0000,3578.2700
313,2020-01-10,29158,Northwest,SO45127,1,1.0000,3578.2700
344,2020-01-11,25979,Northwest,SO45131,1,1.0000,3399.9900
350,2020-01-11,25985,Southwest,SO45132,1,1.0000,3374.9900
314,2020-01-11,29163,Northwest,SO45133,1,1.0000,3578.2700
310,2020-01-11,29264,Southwest,SO45135,1,1.0000,3578.2700
312,2020-01-12,29222,Southwest,SO45141,1,1.0000,3578.2700
310,2020-01-12,29278,Southwest,SO45143,1,1.0000,3578.2700
312,2020-01-13,29166,Southwest,SO45147,1,1.0000,3578.2700
342,2020-01-13,14656,Northwest,SO45148,1,1.0000,699.0982
346,2020-01-14,25980,Northwest,SO45150,1,1.0000,3399.9900
314,2020-01-14,29202,Northwest,SO45151,1,1.0000,3578.2700
310,2020-01-14,29276,Northwest,SO45152,1,1.0000,3578.2700
349,2020-01-15,25978,Southwest,SO45161,1,1.0000,3374.9900
314,2020-01-17,29157,Southwest,SO45173,1,1.0000,3578.2700
313,2020-01-17,29198,Southwest,SO45174,1,1.0000,3578.2700
313,2020-01-17,29238,Southwest,SO45175,1,1.0000,3578.2700
313,2020-01-17,29254,Northwest,SO45176,1,1.0000,3578.2700
310,2020-01-19,29145,Northwest,SO45189,1,1.0000,3578.2700
328,2020-01-19,14660,Northwest,SO45191,1,1.0000,699.0982
313,2020-01-20,29221,Southwest,SO45194,1,1.0000,3578.2700
311,2020-01-21,29148,Southwest,SO45200,1,1.0000,3578.2700
312,2020-01-21,29168,Southwest,SO45201,1,1.0000,3578.2700
312,2020-01-22,29156,Southwest,SO45207,1,1.0000,3578.2700
314,2020-01-22,29201,Southwest,SO45209,1,1.0000,3578.2700
311,2020-01-22,29239,Southwest,SO45210,1,1.0000,3578.2700
312,2020-01-23,29208,Northwest,SO45215,1,1.0000,3578.2700
313,2020-01-23,29261,Southwest,SO45216,1,1.0000,3578.2700
314,2020-01-24,29144,Northwest,SO45217,1,1.0000,3578.2700
345,2020-01-24,25982,Northwest,SO45218,1,1.0000,3399.9900
312,2020-01-24,29207,Northwest,SO45220,1,1.0000,3578.2700
330,2020-01-24,14728,Northwest,SO45222,1,1.0000,699.0982
338,2020-01-25,14653,Southwest,SO45225,1,1.0000,699.0982
342,2020-01-25,14662,Southwest,SO45226,1,1.0000,699.0982
322,2020-01-25,14726,Northwest,SO45227,1,1.0000,699.0982
313,2020-01-26,29242,Northwest,SO45230,1,1.0000,3578.2700
314,2020-01-27,29147,Northwest,SO45235,1,1.0000,3578.2700
310,2020-01-28,29155,Northwest,SO45240,1,1.0000,3578.2700
311,2020-01-28,29203,Southwest,SO45241,1,1.0000,3578.2700
311,2020-01-28,29223,Northwest,SO45242,1,1.0000,3578.2700
314,2020-01-30,29237,Southwest,SO45253,1,1.0000,3578.2700
314,2020-01-30,29252,Southwest,SO45254,1,1.0000,3578.2700
314,2020-01-30,29258,Northwest,SO45255,1,1.0000,3578.2700
336,2020-01-30,14664,Southwest,SO45256,1,1.0000,699.0982
314,2020-01-31,29225,Northwest,SO45259,1,1.0000,3578.2700
310,2020-01-31,29150,Northwest,SO45260,1,1.0000,3578.2700
312,2020-01-31,29175,Northwest,SO45261,1,1.0000,3578.2700
313,2020-01-31,29265,Southwest,SO45262,1,1.0000,3578.2700
340,2020-01-31,14722,Northwest,SO45263,1,1.0000,699.0982
342,2020-02-01,14733,Southwest,SO45347,1,1.0000,699.0982
313,2020-02-03,11227,Southwest,SO45359,1,1.0000,3578.2700
328,2020-02-04,14732,Northwest,SO45368,1,1.0000,699.0982
349,2020-02-05,25994,Northwest,SO45373,1,1.0000,3374.9900
313,2020-02-06,11129,Northwest,SO45382,1,1.0000,3578.2700
332,2020-02-06,14734,Northwest,SO45383,1,1.0000,699.0982
334,2020-02-06,14735,Northwest,SO45385,1,1.0000,699.0982
310,2020-02-07,11224,Northwest,SO45387,1,1.0000,3578.2700
350,2020-02-07,25986,Northwest,SO45388,1,1.0000,3374.9900
310,2020-02-07,11090,Southwest,SO45389,1,1.0000,3578.2700
313,2020-02-08,29352,Southwest,SO45395,1,1.0000,3578.2700
310,2020-02-10,11217,Northwest,SO45404,1,1.0000,3578.2700
351,2020-02-10,25987,Southwest,SO45406,1,1.0000,3374.9900
314,2020-02-10,29285,Southwest,SO45407,1,1.0000,3578.2700
314,2020-02-10,29326,Southwest,SO45408,1,1.0000,3578.2700
312,2020-02-11,11191,Southwest,SO45413,1,1.0000,3578.2700
311,2020-02-14,11252,Southwest,SO45434,1,1.0000,3578.2700
310,2020-02-14,29334,Northwest,SO45438,1,1.0000,3578.2700
312,2020-02-15,11216,Northwest,SO45441,1,1.0000,3578.2700
